Gold Mine Production (tonnes),,,,,,,,,,,,
,,,,,,,,,,,,
,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
North America,,,,,,,,,,,,
United States,231.3,233.9,234.6,230.1,210.0,216.7,229.1,236.3,224.9,200.4,190.2,
Canada,102.1,102.0,106.4,131.4,151.2,157.7,163.1,171.2,188.9,182.9,170.6,
Mexico,78.7,94.4,107.5,107.1,113.3,131.1,130.7,119.6,118.4,109.0,101.6,
Sub-total,412.1,430.3,448.5,468.6,474.6,505.5,523.0,527.1,532.2,492.3,462.5,
,,,,,,,,,,,,
Central & South America,,,,,,,,,,,,
Peru,184.8,183.8,189.8,182.4,171.1,170.5,166.0,166.6,162.6,143.3,97.8,
Brazil,71.5,77.7,80.2,89.3,90.4,95.4,95.9,95.4,96.7,100.4,107.0,
Argentina,63.9,59.0,54.2,49.7,60.0,63.9,58.0,61.4,58.3,52.5,36.7,
Colombia,43.6,45.9,56.2,46.0,47.9,49.6,53.2,53.2,43.9,45.5,53.6,
Chile,39.5,45.1,49.9,51.3,46.0,42.5,40.7,35.8,36.5,37.8,32.1,
Dominican Republic,0.1,0.5,4.2,26.6,36.2,31.2,38.0,35.3,31.7,31.8,28.3,
Venezuela,24.9,25.5,21.0,22.8,22.7,22.6,23.0,23.0,26.0,27.8,33.4,
Suriname,20.4,20.1,20.0,18.5,18.4,17.4,21.2,34.1,34.3,32.8,29.8,
Guyana,11.9,13.9,15.6,18.4,17.3,18.2,23.0,22.3,19.2,19.7,18.2,
Ecuador,15.2,15.6,16.0,15.9,15.3,14.2,12.2,11.5,11.5,11.4,13.5,
Nicaragua,5.5,6.8,7.5,8.9,8.8,8.2,8.4,7.4,7.7,9.0,8.9,
Other,23.3,26.2,24.9,27.4,47.6,34.2,31.5,35.5,36.2,50.0,34.4,
Sub-total,504.6,520.4,539.4,557.1,581.8,567.9,571.0,581.4,564.5,562.0,493.7,
,,,,,,,,,,,,
Europe,,,,,,,,,,,,
Finland,5.8,6.6,9.1,8.5,7.6,8.2,8.6,8.8,8.3,7.7,8.7,
Sweden,6.2,5.9,6.1,6.4,6.5,6.3,6.5,7.8,7.9,8.1,8.2,
Other,4.7,5.5,7.7,8.9,9.6,10.7,12.7,13.8,13.3,15.8,18.2,
Sub-total,16.7,18.0,22.9,23.9,23.7,25.2,27.8,30.5,29.5,31.6,35.1,
,,,,,,,,,,,,
Africa,,,,,,,,,,,,
South Africa,210.0,205.3,179.8,179.5,168.6,162.0,162.6,154.0,128.0,111.3,99.2,
Ghana,94.3,96.8,106.0,105.8,106.3,95.4,131.4,133.3,149.1,142.4,138.7,
Tanzania,47.5,54.4,56.3,52.0,51.8,53.2,55.3,54.6,46.3,46.5,45.9,
Mali,42.7,42.6,47.6,55.9,60.4,71.4,82.1,73.9,88.3,96.8,93.8,
DR Congo,18.0,21.0,24.8,25.3,35.4,41.2,42.5,47.0,63.0,62.9,60.9,
Burkina Faso,44.9,59.7,56.9,61.6,62.2,54.6,56.9,74.6,78.0,83.1,93.4,
Sudan,29.3,32.6,33.9,57.6,60.9,67.8,77.5,88.0,76.6,78.0,83.8,
Zimbabwe,17.1,19.0,22.7,23.0,24.3,25.5,27.6,34.5,51.9,44.4,40.9,
Guinea,25.8,25.7,24.3,25.4,32.1,41.0,45.6,46.8,50.8,57.6,56.9,
Ivory Coast,7.8,13.2,13.0,14.5,19.4,22.2,23.6,25.7,24.1,32.5,36.4,
Egypt,4.7,6.3,8.2,11.1,11.7,13.7,17.1,16.9,14.7,14.9,14.1,
Ethiopia,8.1,10.2,11.3,11.4,12.0,12.6,11.2,11.0,10.0,10.5,10.0,
Mauritania,9.0,8.8,8.2,9.9,10.0,9.1,8.1,10.1,10.7,15.1,15.6,
Senegal,5.4,4.8,7.4,8.2,8.6,8.7,10.2,11.6,16.5,17.3,15.8,
Namibia,3.3,2.7,2.9,3.5,3.7,7.9,9.1,9.8,9.0,8.9,8.8,
Other,54.0,68.7,75.6,73.8,75.5,86.8,104.0,110.4,117.6,117.3,117.0,
Sub-total,621.8,671.9,678.9,718.5,742.9,773.0,864.7,902.2,934.6,939.5,931.0,
,,,,,,,,,,,,
Commonwealth of Independent States,,,,,,,,,,,,
Russia,203.1,211.6,233.4,248.5,252.7,255.3,262.4,280.7,295.4,329.5,331.1,
Uzbekistan,69.0,68.1,77.0,78.0,79.5,79.0,90.0,90.0,92.0,94.6,101.6,
Kazakhstan,29.9,35.6,37.3,40.7,42.6,52.0,58.7,67.2,73.9,74.6,78.4,
Kyrgyzstan,19.0,19.7,11.3,20.2,19.3,18.7,21.2,21.0,21.9,26.0,24.3,
Other,9.6,9.0,8.2,8.7,9.1,11.9,12.6,18.8,18.1,21.3,22.1,
Sub-total,330.5,344.0,367.2,396.1,403.2,416.9,444.9,477.8,501.3,546.0,557.4,
,,,,,,,,,,,,
Asia,,,,,,,,,,,,
China,351.1,371.2,413.3,438.4,462.0,460.3,463.7,429.1,404.1,383.2,368.3,
Indonesia,132.3,110.2,82.6,90.0,93.5,115.1,118.4,117.6,153.0,92.3,100.9,
Philippines,40.8,38.1,30.8,29.2,28.4,30.6,36.7,44.7,42.8,34.6,25.4,
Mongolia,14.0,13.3,14.2,19.7,32.0,32.8,21.3,22.5,22.6,16.3,20.2,
Turkey,16.6,24.1,29.5,33.5,31.2,28.2,24.4,24.7,22.9,37.0,42.0,
Iran,5.0,6.0,6.0,7.0,10.0,11.0,11.0,11.0,11.0,11.0,10.5,
Other,45.1,43.5,46.9,46.1,42.7,44.3,43.6,41.5,43.4,45.7,43.0,
Sub-total,604.9,606.5,623.3,663.9,699.8,722.4,719.2,691.1,699.8,620.1,610.4,
,,,,,,,,,,,,
Oceania,,,,,,,,,,,,
Australia,256.7,258.7,250.4,267.1,274.0,279.2,287.7,292.5,313.0,325.1,327.8,
Papua New Guinea,69.7,63.8,59.0,64.6,58.4,60.9,62.9,63.0,67.1,71.1,53.1,
New Zealand,12.1,11.2,9.7,11.8,10.8,11.7,9.6,9.0,9.3,7.8,5.5,
Other,2.0,3.4,3.6,3.1,2.0,1.6,1.6,1.6,1.6,1.6,1.6,
Sub-total,340.4,337.2,322.7,346.6,345.2,353.3,361.7,366.1,390.9,405.7,388.0,
,,,,,,,,,,,,
Global Total,"2,830.9","2,928.3","3,002.9","3,174.8","3,271.1","3,364.3","3,512.3","3,576.3","3,652.8","3,597.2","3,478.1",
Source: Metals Focus,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,